"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","09-May-2019","16-May-2019","PE","27300","20","20","0.85","13.3","13.7","13.3","1465","8002.6","3.7","21260","21200","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","32100","0","0","0","1532.5","0","3173.85","0","0","0","0","0","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","27500","22","22","10.75","16.35","17.5","16.35","5036","27713.59","15.59","38860","33840","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","27600","13.3","22.75","8.5","18.7","19.55","18.7","388","2143.21","1.45","5000","5000","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","27700","45","49.95","12.05","22.1","27","22.1","697","3864.5","3.12","3600","3160","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","27800","26.35","37.95","20","27.5","31","27.5","3798","21137.25","20.37","24780","24780","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","27900","37.55","62.9","26","34.85","39.15","34.85","4304","24045.36","29.04","16500","15760","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","28000","54.1","58.75","31.25","45.6","50.95","45.6","43903","246241.84","385.04","181240","130120","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","28100","55.3","72.15","38.3","55.1","62.95","55.1","9787","55107.02","104.08","19420","16500","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","28200","74.9","89","47.25","67.85","75","67.85","15615","88277.07","208.47","40680","32900","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","28300","88.35","108.7","58.8","83.75","90","83.75","20365","115600.47","334.57","53380","45260","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","28400","105.5","133.65","72.65","103.7","113.7","103.7","22861","130309.61","459.13","47120","39000","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","28500","125.1","162","90.5","127.35","137","127.35","74556","426803.39","1834.19","163660","89240","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","28600","160.75","195","111.95","155.9","163.4","155.9","29102","167350.28","886.84","61800","44480","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","28700","204.8","234.25","138","188.05","198.9","188.05","34106","197005.12","1236.68","57100","38940","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","28800","224.65","275.95","167.9","224.8","234.9","224.8","42402","246079.34","1843.82","81280","61760","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","28900","260","326.3","201.95","267.35","277","267.35","30922","180325.27","1596.11","52380","40400","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","29000","317.9","379.75","241.05","312.9","312.15","312.9","55444","324946.25","3371.05","260060","163460","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","29100","349","437.25","287.6","368.1","369.95","368.1","12462","73418.6","889.76","41740","5740","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","29200","360.85","503.55","336.85","426.9","423","426.9","5722","33887.17","470.69","45300","5580","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","29300","483.4","562.75","396.35","498.2","491.25","498.2","2684","15982.14","253.9","17040","1040","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","29400","547","644","458.75","567.45","593.95","567.45","1464","8767.94","159.62","8880","-4620","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","29500","620","719.9","527.45","652.95","650.05","652.95","10399","62641.92","1287.82","80080","-38900","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","29600","705","780","608.9","712.7","710","712.7","485","2938.89","67.69","7300","3560","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","29700","800.35","876.95","699","794.45","794","794.45","182","1109.43","28.35","5480","-1480","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","29800","872","953.75","765.4","879.9","872.9","879.9","423","2596.29","75.21","9100","4460","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","29900","1001","1050","854.65","986.85","967.4","986.85","69","426.14","13.52","2180","-60","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","30000","1063.8","1146.3","928.85","1068.65","1070","1068.65","1298","8060.98","272.98","28860","4400","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","30100","1125","1160","1050","1157.8","1160","1157.8","10","62.44","2.24","1240","20","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","30200","1220","1304.85","1150","1247.55","1247.55","1247.55","7","44.01","1.73","400","-40","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","30300","1334","1385.4","1263.8","1361.1","1352","1361.1","33","208.69","8.71","1200","60","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","30400","1430","1430","1375.8","1388.4","1388.4","1388.4","10","63.62","2.82","140","120","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","30500","1550","1604","1440","1541.9","1538.75","1541.9","367","2351.16","112.46","4440","2340","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","30600","0","0","0","1345.3","0","1679.3","0","0","0","0","0","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","30700","0","0","0","1411.85","0","1778.1","0","0","0","0","0","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","30800","0","0","0","1480","0","1877.15","0","0","0","0","0","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","30900","0","0","0","1549.65","0","1976.5","0","0","0","0","0","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","31000","2000","2050","1950","2022.5","2027.85","2022.5","7","46.2","2.8","140","140","-"
"BANKNIFTY","09-May-2019","16-May-2019","PE","31100","0","0","0","1541.8","0","2175.6","0","0","0","0","0","-"
