"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","09-May-2019","16-May-2019","CE","27300","1640","1733.3","1554.5","1733.3","1733.3","1733.3","4","23.17","1.33","80","80","-"
"BANKNIFTY","09-May-2019","16-May-2019","CE","32100","1.75","3.75","1.7","3.65","3.75","3.65","154","988.75",".07","1160","1160","-"
"BANKNIFTY","09-May-2019","16-May-2019","CE","27500","1400","1400","1400","1400","1400","1400","1","5.78",".28","20","20","-"
"BANKNIFTY","09-May-2019","16-May-2019","CE","27600","0","0","0","1890.3","0","1329.7","0","0","0","0","0","-"
"BANKNIFTY","09-May-2019","16-May-2019","CE","27700","1226.15","1226.15","1226.15","1226.15","1226.15","1226.15","1","5.79",".25","20","20","-"
"BANKNIFTY","09-May-2019","16-May-2019","CE","27800","1071","1071","1071","1071","1071","1071","8","46.19","1.71","160","160","-"
"BANKNIFTY","09-May-2019","16-May-2019","CE","27900","1049.65","1064.25","1020","1050.25","1050.25","1050.25","38","219.95","7.91","520","520","-"
"BANKNIFTY","09-May-2019","16-May-2019","CE","28000","982.75","1067.35","900","970.65","989.5","970.65","90","521.66","17.66","1160","1140","-"
"BANKNIFTY","09-May-2019","16-May-2019","CE","28100","880","880","880","880","880","880","1","5.8",".18","20","20","-"
"BANKNIFTY","09-May-2019","16-May-2019","CE","28200","0","0","0","1447.05","0","782.45","0","0","0","0","0","-"
"BANKNIFTY","09-May-2019","16-May-2019","CE","28300","725.65","730","649.15","649.15","649.15","649.15","16","92.86","2.3","260","260","-"
"BANKNIFTY","09-May-2019","16-May-2019","CE","28400","660","694.6","610.1","624.2","635","624.2","6","34.85",".77","60","60","-"
"BANKNIFTY","09-May-2019","16-May-2019","CE","28500","573","671.4","500","558.05","572.15","558.05","1442","8384.44","165.04","8960","8420","-"
"BANKNIFTY","09-May-2019","16-May-2019","CE","28600","530.1","580.05","449.1","486.8","475","486.8","393","2285.37","37.41","3220","3140","-"
"BANKNIFTY","09-May-2019","16-May-2019","CE","28700","452.45","507.75","372.5","421.25","424.4","421.25","1422","8281.86","119.58","8540","8200","-"
"BANKNIFTY","09-May-2019","16-May-2019","CE","28800","391.05","445","314.4","357.8","355","357.8","8432","49191.68","623.36","33540","32960","-"
"BANKNIFTY","09-May-2019","16-May-2019","CE","28900","304.7","385.75","264.4","301.3","306.5","301.3","16277","95104.81","1023.75","38640","37360","-"
"BANKNIFTY","09-May-2019","16-May-2019","CE","29000","350","350","218.55","251.15","251","251.15","69665","407755.9","3698.9","289380","246380","-"
"BANKNIFTY","09-May-2019","16-May-2019","CE","29100","250","274.55","178.25","208.7","212","208.7","34105","200004.39","1513.29","72480","59720","-"
"BANKNIFTY","09-May-2019","16-May-2019","CE","29200","215","227","145.9","172","170","172","54113","317999.22","1979.3","175560","132940","-"
"BANKNIFTY","09-May-2019","16-May-2019","CE","29300","167.85","186","116.3","138.4","135","138.4","46671","274905.22","1413.16","134200","73840","-"
"BANKNIFTY","09-May-2019","16-May-2019","CE","29400","120","150","92.55","110.4","109.5","110.4","47213","278759.6","1147.16","124560","83320","-"
