"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","24500","3.95","3.95","2.05","2.65","2.95","2.65","747","3660.78",".48","58240","-1720","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","29300","0","0","0","2382.55","2382.55","2209.1","0","0","0","1080","0","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","24700","0","0","0","12.55","12.55","0","0","0","0","440","0","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","24800","0","0","0","8.45","8.45","0","0","0","0","20","0","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","24900","0","0","0","8","8","0","0","0","0","1520","0","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","25000","5.1","5.5","3.45","4.35","3.5","4.35","5039","25199.63","4.63","129500","5320","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","25100","4.55","6.5","4","4","4","4","11","55.23",".01","3000","-80","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","25200","0","0","0","12","12","0","0","0","0","1120","0","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","25300","7.4","10.45","3.75","4.95","4.95","4.95","75","379.58",".08","3380","-480","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","25400","8.85","8.85","3.25","4.7","4.45","4.7","2483","12616.1","2.46","25020","860","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","25500","12.55","12.55","4.6","5.75","5.3","5.75","13555","69149.47","18.97","170080","-31840","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","25600","14.15","14.15","5","5.75","5.6","5.75","4188","21449.01","6.45","21120","-1360","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","25700","15.5","15.5","6","6.6","6.2","6.6","3813","19605.71","6.89","22080","2200","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","25800","15.55","16.6","7.1","8","7.55","8","6464","33368.57","14.33","33080","17760","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","25900","26.55","26.55","9.8","10.85","10.35","10.85","9432","48884.69","26.93","48220","24320","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","26000","31.25","32.1","12","14.1","13","14.1","52358","272455.45","193.85","538480","-14740","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","26100","29.9","30.85","14.15","16","15.65","16","11826","61780.81","49.09","57040","42100","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","26200","40.05","40.05","16.95","19.25","18.8","19.25","13835","72567.07","71.67","66160","30660","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","26300","45.55","46.75","22.4","24.85","23.7","24.85","20881","109964.51","130.45","143260","105720","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","26400","60","60","27","31.85","30.5","31.85","19323","102181.55","156.11","114360","74360","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","26500","81.2","81.4","40","43.45","41.8","43.45","87603","465213.66","917.76","551280","117620","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","26600","100","117.3","50.7","55.55","52.9","55.55","27280","145485.56","355.96","111020","62200","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","26700","120","120","65.3","72.15","69","72.15","38394","205659.79","635.83","180020","91700","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","26800","126.6","141.7","83.05","92.95","88.6","92.95","58900","316926.18","1222.18","298520","142180","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","26900","163.5","181.25","106","120.1","116.15","120.1","38290","207008.46","1008.26","174360","64620","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","27000","206","206","138.15","154.25","147.5","154.25","84791","460697.71","2826.31","684480","151540","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","27100","232.1","244.25","171","193.85","190.1","193.85","25980","141874.95","1063.35","88980","70620","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","27200","274.05","296.9","212.55","242.95","236.15","242.95","12471","68470.79","628.55","58660","31080","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","27300","333.4","352.9","270","299.4","288.45","299.4","2822","15581.6","173.48","22560","5040","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","27400","409.65","421.05","330","359.5","357.5","359.5","1070","5942.07","78.47","13400","1700","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","27500","491.85","499","400.1","440","433","440","4460","24926.89","396.89","109060","-3280","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","27600","520","558","469","517.9","520","517.9","183","1028.98","18.82","7780","2160","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","27700","602.6","602.6","560.1","598.15","599.8","598.15","9","50.93","1.07","3200","20","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","27800","671.7","671.7","666.55","670","666.55","670","3","17.08",".4","1020","60","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","27900","824.75","824.75","760.65","761.7","760.65","761.7","6","34.41",".93","1440","60","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","28000","887","939.5","825","873.25","866.35","873.25","2351","13571.88","406.28","616040","-11180","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","28100","0","0","0","1424.85","0","1014.7","0","0","0","0","0","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","28200","0","0","0","1485.65","0","1112.9","0","0","0","0","0","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","28300","0","0","0","1001.7","1001.7","1211.75","0","0","0","20","0","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","28400","0","0","0","1611.25","0","1311","0","0","0","0","0","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","28500","1410","1410","1319.05","1363.55","1363.65","1363.55","272","1624.62","74.22","10780","4500","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","28600","0","0","0","1659.2","0","1510.2","0","0","0","0","0","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","28700","0","0","0","1603.05","0","1610","0","0","0","0","0","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","28800","0","0","0","1672.15","0","1709.8","0","0","0","0","0","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","28900","0","0","0","1637.65","0","1809.65","0","0","0","0","0","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","29000","1904","1904","1816.4","1820","1820","1820","24","148.06","8.86","14380","160","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","29100","0","0","0","1523.65","0","2009.35","0","0","0","0","0","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","29200","0","0","0","1437.1","0","2109.25","0","0","0","0","0","27052.4"
"BANKNIFTY","21-Feb-2019","28-Feb-2019","PE","24600","4","4.45","2","2","2","2","7","34.45",".01","2740","0","27052.4"
"BANKNIFTY","22-Feb-2019","28-Feb-2019","PE","24500","2.7","2.95","1.65","2.4","2.55","2.4","1008","4939.7",".5","53740","-4500","26867.55"
