"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","31500","5.1","6.95","4.05","4.55","4.05","4.55","2526","15916.24","2.44","37860","20240","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","31600","3.3","7.8","3.3","4","4","4","9","56.89",".01","380","-20","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","31700","0","0","0","166.3","0","0.8","0","0","0","0","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","31800","0","0","0","147.15","0","0.5","0","0","0","0","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","31900","0","0","0","129.85","0","0.35","0","0","0","0","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","32000","6","6","2.1","2.75","3","2.75","1012","6477.49",".69","22200","7680","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","25100","0","0","0","1911.45","0","4718.15","0","0","0","0","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","25200","0","0","0","1958.75","0","4618.3","0","0","0","0","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","25300","0","0","0","1869.95","0","4518.4","0","0","0","0","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","25400","0","0","0","1962.1","0","4418.55","0","0","0","0","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","25500","0","0","0","1874.25","0","4318.65","0","0","0","0","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","25600","0","0","0","1787.75","0","4218.8","0","0","0","0","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","25700","0","0","0","1702.75","0","4118.9","0","0","0","0","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","25800","0","0","0","1619.25","0","4019.05","0","0","0","0","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","25900","0","0","0","1537.4","0","3919.2","0","0","0","0","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","26000","0","0","0","1457.35","0","3819.3","0","0","0","0","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","26100","0","0","0","1379.15","0","3719.45","0","0","0","0","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","26200","0","0","0","1302.95","0","3619.55","0","0","0","0","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","26300","0","0","0","1229.75","0","3519.7","0","0","0","0","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","26400","0","0","0","1156.5","0","3419.8","0","0","0","0","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","26500","0","0","0","1086.75","0","3319.95","0","0","0","0","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","26600","0","0","0","1019.3","0","3220.05","0","0","0","0","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","26700","3050","3062.5","3050","3053.6","3053.6","3053.6","5","29.76","3.06","100","100","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","26800","0","0","0","891.6","0","3020.35","0","0","0","0","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","26900","0","0","0","831.45","0","2920.45","0","0","0","0","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","27000","2801","2801","2740.65","2792","2792","2792","6","35.72","3.32","100","100","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","27100","0","0","0","718.7","0","2720.7","0","0","0","0","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","27200","2606.9","2606.9","2606.9","2606.9","2606.9","2606.9","1","5.96",".52","20","20","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","27300","2499.95","2527.5","2499.95","2526.5","2525.5","2526.5","4","23.85","2.01","80","80","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","27400","2400","2450","2274","2437.5","2450","2437.5","27","160.36","12.4","540","540","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","27500","2250","2332.95","2225","2330","2330","2330","22","130.99","9.99","400","400","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","27600","2200","2235.6","2194.05","2194.05","2194.05","2194.05","7","41.72","3.08","140","140","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","27700","2100","2104.5","2094.75","2094.75","2094.75","2094.75","6","35.76","2.52","120","120","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","27800","1940","2000","1940","2000","2000","2000","9","53.54","3.5","180","180","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","27900","1850","1919","1850","1850","1850","1850","33","196.72","12.58","660","660","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","28000","1790","1890","1720","1843.55","1855.85","1843.55","52","309.87","18.67","1000","980","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","28100","0","0","0","1950","1950","1722.9","0","0","0","20","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","28200","1555","1650","1555","1650","1650","1650","3","17.88",".96","40","40","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","28300","1499.65","1546.4","1456.5","1500","1500","1500","22","131.26","6.74","400","400","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","28400","1399.9","1420","1391","1403","1403","1403","7","41.73","1.97","140","140","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","28500","1345","1350","1225.9","1297","1297","1297","193","1149.8","49.7","3080","3040","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","28600","0","0","0","183.5","0","1231.1","0","0","0","0","0","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","28700","766.75","1000","766.75","1000","1000","1000","2","11.83",".35","40","40","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","28800","913.9","1083","913.9","1059.55","1059.6","1059.55","25","149.03","5.03","260","260","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","28900","832.6","888.05","832.6","888.05","888.05","888.05","13","77.38","2.24","260","260","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","29000","883.2","929.4","759","869.3","887","869.3","200","1193.93","33.93","3140","2640","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","29100","703.95","750","677.35","750","750","750","11","65.62","1.6","220","20","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","29200","703.5","707.2","650","650","650","650","9","53.8","1.24","120","-20","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","29300","603.85","623.25","550.15","613.4","610.6","613.4","22","131.54","2.62","260","180","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","29400","514","585.5","445.75","540","550.4","540","171","1022.8","17.32","1280","1020","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","29500","466","521.6","361.45","465.45","471.65","465.45","4477","26809.3","395","40920","39780","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","29600","386.2","443.95","305.7","393.6","405.85","393.6","1834","10992.26","134.98","4100","3480","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","29700","330.05","381.95","250.4","329.15","333.5","329.15","15504","93055.74","961.98","38100","36000","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","29800","280.95","325.35","200.5","270.85","275.85","270.85","38085","228978.19","1991.59","81300","73380","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","29900","260","273.75","165.6","222.8","227","222.8","45541","274274.33","1939.15","121360","104280","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","30000","200.05","214.75","132","178.75","184","178.75","107002","645652.22","3640.22","398560","266700","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","30100","170","180","103.75","144.2","148.05","144.2","44617","269805.72","1211.38","122300","79040","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","30200","200","200","79.65","113.05","114","113.05","55721","337739.36","1184.52","185540","122580","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","30300","110.6","110.6","60","86.8","87","86.8","43648","265225.48","718.6","143200","88100","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","30400","90","90","44.6","64.85","64","64.85","40964","249555.82","494.7","138220","99580","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","30500","79.3","79.3","34","47.95","47.55","47.95","94763","578913.24","858.94","370180","189660","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","30600","59.9","59.9","25.2","35.15","32.85","35.15","24710","151394.11","168.91","85840","56000","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","30700","40","40.1","18.65","25.1","25","25.1","21010","129109.19","107.79","67300","39360","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","30800","28","28","14.1","18.4","17.95","18.4","16139","99478.31","62.07","60540","22080","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","30900","20.3","22.3","11.4","14.25","14.45","14.25","8457","52290.01","25.75","25820","3640","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","31000","19","19.2","9.8","11.2","10.8","11.2","33946","210548.72","83.52","166740","73080","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","31100","17.5","17.5","7.55","8.45","9","8.45","1364","8486.66","2.58","14380","10300","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","31200","8","12.75","5.95","6.9","6.05","6.9","1204","7514.82","1.86","15520","10220","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","31300","5.25","9.9","4.65","5.5","4.8","5.5","175","1095.76",".26","1260","960","29786.1"
"BANKNIFTY","11-Apr-2019","18-Apr-2019","CE","31400","11","15","3","5.7","3.6","5.7","239","1501.24",".32","3340","2920","29786.1"
