"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","18-Apr-2019","25-Apr-2019","CE","31500","31.25","38.25","5.9","7.45","6.2","7.45","43451","273854.88","113.58","282240","111460","30223.4"
"BANKNIFTY","18-Apr-2019","25-Apr-2019","CE","31600","29.55","29.55","4.55","5.75","5.3","5.75","7278","46010.58","13.62","24220","6860","30223.4"
"BANKNIFTY","18-Apr-2019","25-Apr-2019","CE","31700","18.65","21.5","3.4","4.9","3.6","4.9","3190","20229.1","4.5","15380","7240","30223.4"
"BANKNIFTY","18-Apr-2019","25-Apr-2019","CE","31800","18","18","2.55","4.65","3","4.65","866","5508.75",".99","4960","640","30223.4"
"BANKNIFTY","18-Apr-2019","25-Apr-2019","CE","31900","7.4","10","3.05","4.95","3.15","4.95","521","3324.53",".55","7440","-140","30223.4"
"BANKNIFTY","18-Apr-2019","25-Apr-2019","CE","32000","6.05","20.95","3.8","6.2","4.2","6.2","12502","80027.11","14.31","237760","94100","30223.4"
"BANKNIFTY","18-Apr-2019","25-Apr-2019","CE","32100","0","0","0","7.15","0","1.35","0","0","0","0","0","30223.4"
"BANKNIFTY","18-Apr-2019","25-Apr-2019","CE","25100","5529","5529","5100","5162.5","5100","5162.5","49","297.88","51.9","14140","-640","30223.4"
"BANKNIFTY","18-Apr-2019","25-Apr-2019","CE","25200","0","0","0","2004.1","0","5055.8","0","0","0","0","0","30223.4"
"BANKNIFTY","18-Apr-2019","25-Apr-2019","CE","25300","0","0","0","2033.4","0","4955.9","0","0","0","0","0","30223.4"
"BANKNIFTY","18-Apr-2019","25-Apr-2019","CE","25400","0","0","0","2071.7","0","4856.05","0","0","0","0","0","30223.4"
"BANKNIFTY","18-Apr-2019","25-Apr-2019","CE","25500","5100","5100","4700","4707.05","4703.25","4707.05","56","339.66","54.06","18040","-200","30223.4"
"BANKNIFTY","18-Apr-2019","25-Apr-2019","CE","25600","0","0","0","2102.3","0","4656.3","0","0","0","0","0","30223.4"
"BANKNIFTY","18-Apr-2019","25-Apr-2019","CE","25700","0","0","0","2223.8","0","4556.4","0","0","0","0","0","30223.4"
"BANKNIFTY","18-Apr-2019","25-Apr-2019","CE","25800","0","0","0","2143.3","0","4456.55","0","0","0","0","0","30223.4"
